CallType,fund,sal,voice2percent,maxfund,minfund,cvfund,meanspect,stdspect,skewspect,kurtosisspect,entropyspect,q1,q2,q3,meantime,stdtime,skewtime,kurtosistime,entropytime,rms,maxamp
Be,844.157019,0.575292,61.165049,938.809265,443.935447,0.164065,6698.972534,1276.218447,-0.445390,3.063913,0.793822,5793.556641,6771.070312,7700.900391,175.022411,33.800446,-0.217593,2.124861,0.894236,0.149804,0.193662
Be,831.717943,0.528214,50.000000,946.189872,414.571034,0.184568,6590.473744,1234.023202,-0.561711,3.535250,0.809754,5745.873047,6723.386719,7367.115234,174.995498,43.732133,-0.204658,1.847616,0.923965,0.130425,0.165049
Be,891.290852,0.597476,39.130435,979.765751,721.436393,0.044783,6298.160729,1131.154432,-0.236076,3.383122,0.801994,5698.189453,6246.550781,7081.013672,175.022786,40.337249,-0.091098,1.931632,0.919302,0.148961,0.162345
Be,874.308569,0.498998,34.545455,1052.441590,724.634137,0.075069,5417.436816,1096.227365,-0.016527,4.060096,0.773097,4744.517578,5650.505859,5888.923828,175.161835,30.187852,0.080205,2.107177,0.915534,0.101483,0.114392
Be,774.961342,0.427060,28.571429,829.630887,732.705035,0.041667,6341.440681,1838.960020,-0.053645,2.472750,0.868312,4768.359375,6890.279297,8106.210938,174.138670,19.782791,0.310696,2.470531,0.892930,0.062388,0.073722
Be,838.303923,0.440596,52.173913,895.212575,774.686581,0.062303,6892.208159,1554.386536,-0.643039,3.096020,0.844891,5650.505859,7390.957031,8153.894531,174.990684,23.058553,0.000141,2.452877,0.876274,0.105327,0.143306
Be,906.143310,0.499617,37.037037,1080.685276,633.425307,0.057506,6305.677649,1299.561903,0.046302,3.442851,0.800844,5650.505859,6222.708984,7081.013672,175.013449,32.826177,-0.559508,2.544317,0.891102,0.130611,0.211594
Be,851.221080,0.520106,51.724138,1047.300864,413.417701,0.145972,6636.739285,1245.988987,-0.481598,3.497966,0.809772,5769.714844,6651.861328,7677.058594,175.003077,30.386434,0.164498,2.461878,0.860031,0.152844,0.212702
Be,878.963048,0.459855,80.000000,917.006972,806.973410,0.039252,6567.205446,1721.672509,-0.503397,2.500548,0.852011,5388.246094,6961.804688,8034.685547,175.161378,26.425911,0.053852,2.197400,0.894274,0.096663,0.112523
Be,793.620705,0.379066,0.000000,844.761886,772.333948,0.039252,6139.543220,1618.751357,-0.678773,3.155750,0.808027,4696.833984,6723.386719,7462.482422,160.427007,42.269860,2.801411,10.964558,0.810581,0.019743,0.042048
Be,712.744150,0.467044,30.769231,802.262014,300.111467,0.207451,5683.340635,1584.848341,-0.285029,3.654441,0.826531,4649.150391,5960.449219,6318.076172,177.480389,47.351158,-1.677174,6.486033,0.845026,0.008521,0.019484
Be,805.255900,0.382825,0.000000,823.998864,785.238195,0.017100,6651.923001,1745.985545,-0.341414,2.704555,0.872782,5841.240234,6890.279297,8296.945312,175.011665,31.139388,-0.374009,2.568803,0.873134,0.047114,0.072181
Be,899.303002,0.426483,77.777778,1078.856718,446.892935,0.165156,6894.316678,1429.520213,-0.786535,3.734713,0.829095,5984.291016,7152.539062,8082.369141,175.023452,32.857670,-0.292125,2.198962,0.898964,0.091772,0.118656
Be,866.464764,0.542088,62.025316,1139.499696,389.021790,0.135507,6710.191648,1253.711977,-0.709059,3.844116,0.807798,5769.714844,6890.279297,7724.742188,175.006497,35.729801,-0.275406,2.174435,0.906616,0.126511,0.156453
Be,854.266669,0.531118,74.747475,940.086833,432.078207,0.132182,6753.984431,1239.693553,-0.868211,4.230384,0.790448,5865.082031,6961.804688,7724.742188,175.020329,38.186566,-0.129210,1.911557,0.920502,0.117296,0.140334
Be,843.381505,0.557943,66.666667,933.899091,435.004503,0.144659,6739.859355,1214.189247,-0.850336,3.940834,0.782323,5745.873047,7009.488281,7724.742188,175.021816,37.866482,-0.098772,1.915395,0.912245,0.121306,0.147114
Be,827.047363,0.484752,80.645161,927.397273,304.801758,0.221888,6659.790741,1174.435165,-0.899675,4.721403,0.819374,5960.449219,6818.753906,7486.324219,175.001669,44.338511,-0.120881,1.896576,0.916615,0.105523,0.125970
Be,812.244008,0.439385,51.666667,937.646166,308.594927,0.210072,6778.503587,1210.063783,-0.883804,4.368416,0.823484,6031.974609,7033.330078,7700.900391,175.010519,53.633740,-0.197909,1.863927,0.928154,0.119899,0.141922
Be,903.901808,0.523893,42.857143,945.520371,847.335775,0.025732,6577.098846,1152.115630,-0.450486,3.723042,0.798841,5793.556641,6628.019531,7247.906250,175.002618,37.446895,-0.173841,1.977035,0.910544,0.151190,0.190613
Be,879.750991,0.440965,53.125000,931.867828,792.912441,0.042469,6825.615566,1491.498917,-0.808121,3.236404,0.842666,5888.923828,7128.697266,8153.894531,174.993045,29.461480,-0.045875,2.115647,0.894597,0.098785,0.115481
Be,771.718088,0.437884,33.333333,901.571527,411.709725,0.185239,7061.980566,1571.355764,-0.868656,3.311473,0.849215,5960.449219,7534.007812,8368.470703,175.008648,29.955514,0.179940,2.016658,0.900283,0.065644,0.080525
Be,667.693617,0.409634,13.636364,891.712255,344.978659,0.283247,7278.323174,1052.888492,-1.891243,7.608261,0.732010,7152.539062,7629.375000,7772.425781,175.023954,29.062901,0.131600,2.130243,0.893350,0.089600,0.108827
Be,774.435547,0.439517,16.216216,1084.153878,337.672136,0.168045,7110.631893,1093.372399,-1.513578,5.847932,0.767068,6723.386719,7462.482422,7843.951172,175.624042,31.478759,0.188116,2.004204,0.920084,0.124810,0.153609
Be,508.780572,0.475877,14.634146,792.663601,318.992019,0.325875,6170.188031,2013.320497,-0.503332,2.716743,0.852763,4720.675781,6771.070312,7915.476562,175.061049,23.029427,0.439929,3.463788,0.869548,0.017784,0.026545
Be,617.927789,0.408578,30.434783,821.873899,366.835156,0.337246,6374.256501,1747.833570,-0.357475,3.075210,0.891359,5412.087891,6604.177734,7915.476562,175.016022,35.206336,0.130815,2.067381,0.919287,0.031941,0.035246
Be,683.420220,0.439833,27.500000,888.223866,300.609856,0.306138,6797.682711,1242.955723,-0.721019,4.353979,0.838575,6031.974609,6914.121094,7796.267578,175.015201,28.181600,-0.099513,2.375017,0.883886,0.097986,0.124670
Be,847.954115,0.453663,84.090909,915.381193,423.226880,0.157484,6737.778781,1139.444756,-0.827922,4.753590,0.803720,5936.607422,6890.279297,7557.849609,175.017083,36.999909,-0.006936,1.955561,0.912416,0.139627,0.152696
Be,814.919612,0.444792,67.567568,924.842315,303.795646,0.226530,6635.875635,1112.831110,-0.802844,4.633679,0.794761,5769.714844,6842.595703,7295.589844,174.992201,36.512247,0.082728,1.932971,0.912392,0.131007,0.140981
Be,891.320575,0.482102,68.115942,934.731418,733.365013,0.041985,6774.516611,1180.816818,-0.748849,3.850162,0.804247,5793.556641,6985.646484,7796.267578,174.990693,34.813540,0.243759,2.052227,0.907575,0.138475,0.169100
Be,673.661729,0.480663,69.491525,944.714098,433.972479,0.315643,6619.341432,1394.545672,-0.546950,3.426250,0.832705,5769.714844,6675.703125,7843.951172,174.609873,35.538409,0.379784,3.055002,0.875271,0.084604,0.115045
Be,880.697721,0.401707,57.142857,900.829453,835.355836,0.034578,5837.029607,2298.383161,-0.069330,2.037349,0.887497,3790.845703,5936.607422,7963.160156,176.527329,34.325873,-1.356257,7.109548,0.865434,0.024218,0.034451
Be,812.333249,0.404139,0.000000,1456.331949,389.102552,0.278586,5657.597497,1830.900362,-0.338535,2.260666,0.854424,4124.630859,6031.974609,7319.431641,173.974122,20.365031,0.908039,4.781547,0.861384,0.020079,0.030139
Be,868.113538,0.406932,53.846154,1385.364795,760.171683,0.264088,5983.112261,1784.325889,-0.487187,2.511889,0.828708,4267.681641,6175.025391,7247.906250,175.013462,24.952738,0.873107,3.480020,0.860639,0.021947,0.039720
Be,793.841096,0.427278,25.000000,930.480623,417.352659,0.139564,6038.811495,1680.756013,-0.045103,2.453893,0.867397,4649.150391,6198.867188,7605.533203,174.992342,45.338749,-0.589440,2.305890,0.910850,0.055638,0.093511
Be,740.365123,0.382145,36.363636,782.522534,689.979145,0.063179,6666.154883,1680.101160,-0.062914,2.364840,0.868042,5459.771484,6461.126953,8249.261719,175.004795,29.358500,-0.000541,2.171779,0.903763,0.067192,0.077707
Be,665.228431,0.389201,10.000000,916.084958,345.062839,0.399390,6555.748756,1303.561323,-0.328819,3.810368,0.828216,5888.923828,6699.544922,7438.640625,175.013346,26.987661,-0.031303,2.235826,0.895275,0.086668,0.107398
Be,720.026007,0.441576,62.790698,902.570940,426.563748,0.250662,6626.708353,1178.834208,-0.871777,5.205886,0.819464,6008.132812,6747.228516,7462.482422,175.012411,35.896209,-0.294919,2.139241,0.908404,0.087570,0.110305
Be,865.030020,0.527221,75.728155,925.565588,307.929442,0.175881,6522.869007,1152.207177,-0.578908,4.183541,0.796933,5722.031250,6723.386719,7247.906250,175.003597,42.939588,-0.121750,2.031279,0.904761,0.103575,0.131643
Be,786.062540,0.428758,46.666667,917.908079,410.113452,0.208185,6623.829201,1504.250753,-0.664308,3.290537,0.844468,5626.664062,6890.279297,7915.476562,175.009191,39.469745,0.006363,1.871078,0.898381,0.067292,0.086459
Be,792.838313,0.396938,83.333333,872.490640,343.668041,0.180112,5698.040168,1701.333139,-0.097084,2.534643,0.873025,4529.941406,5722.031250,7104.855469,175.351937,38.887468,-0.626176,3.882692,0.876909,0.023247,0.035939
Be,981.389894,0.401607,53.846154,1479.055467,826.565286,0.285751,5729.786227,1575.233982,-0.341011,3.065542,0.843194,4458.416016,6079.658203,6818.753906,174.742386,20.435771,-0.031536,2.412105,0.886797,0.034481,0.041750
Be,816.327275,0.458132,71.153846,942.042854,307.236609,0.211232,6441.088033,1202.151105,-0.203630,3.585903,0.814508,5650.505859,6413.443359,7224.064453,174.991258,31.740672,-0.353740,2.405252,0.894817,0.121015,0.159945
Be,699.746670,0.397625,34.615385,915.032045,302.995434,0.306527,6528.058521,1098.725388,-0.703174,4.675067,0.796368,5865.082031,6747.228516,7247.906250,174.996096,40.610369,-0.041545,1.895479,0.923885,0.094165,0.100758
Be,751.635434,0.464920,30.952381,916.896322,355.798633,0.228861,6436.507876,960.511111,-0.904124,6.402183,0.757066,6008.132812,6699.544922,7033.330078,175.003167,34.616245,-0.155602,2.069096,0.896177,0.080562,0.103753
Be,821.146957,0.464748,40.322581,871.704464,316.050632,0.136432,6623.559941,1066.385917,-0.634786,3.767427,0.785894,6008.132812,6818.753906,7390.957031,175.026635,38.984489,-0.203078,2.034494,0.919207,0.098651,0.114450
Be,776.171871,0.443027,27.777778,1025.966259,437.187048,0.197356,6284.877121,1086.464247,-0.098125,3.694390,0.804840,5578.980469,6127.341797,7104.855469,175.011984,31.562708,0.062875,1.999255,0.905220,0.133605,0.146395
Be,763.562110,0.400086,36.000000,924.293117,311.136773,0.179605,6312.828454,1023.229075,-0.489895,4.534275,0.802266,5650.505859,6484.968750,7033.330078,175.024574,37.232655,0.137434,1.926271,0.914126,0.106071,0.119952
Be,868.897408,0.495370,54.878049,935.562005,615.620975,0.098591,6401.887516,1187.899677,-0.374257,3.455299,0.817785,5650.505859,6437.285156,7390.957031,174.988876,38.079996,0.217221,2.249672,0.885877,0.093256,0.113639
Be,742.498688,0.472106,0.000000,871.468372,304.660554,0.279461,6247.357522,1872.234366,-0.180994,2.420905,0.834999,5125.986328,6008.132812,8034.685547,166.964060,37.074427,2.163835,10.071571,0.828593,0.013987,0.030623
Be,820.813080,0.406303,46.153846,901.293523,541.158057,0.112882,5842.946183,1881.737382,-0.378427,2.452043,0.868076,4196.156250,6055.816406,7390.957031,175.452346,32.619229,-2.118519,9.873953,0.843815,0.018270,0.031482
Be,832.885298,0.370126,0.000000,834.294530,832.036411,0.001476,5756.440881,1806.723104,-0.431356,2.771694,0.852988,4434.574219,6151.183594,7104.855469,176.897707,38.173362,-1.955018,8.363641,0.838200,0.014248,0.026554
Be,832.720025,0.364063,0.000000,841.230262,819.408093,0.010974,6063.433079,1704.077324,-0.654197,2.853739,0.838060,4506.099609,6318.076172,7414.798828,174.991630,23.818743,0.254356,3.427195,0.859931,0.026658,0.040685
Be,690.490979,0.386705,0.000000,1335.318977,327.055348,0.413469,6368.761233,1611.790885,-0.412201,2.976445,0.853598,5698.189453,6461.126953,7629.375000,174.983512,28.590717,-0.083520,2.142517,0.901948,0.039263,0.044686
Be,712.775142,0.416839,27.272727,933.292564,457.781711,0.308433,6791.162932,1378.507089,-0.758067,4.038717,0.820367,6008.132812,7057.171875,7867.792969,174.993672,29.164042,-0.305891,2.429157,0.883132,0.093358,0.135301
Be,846.538469,0.481336,58.181818,934.874452,415.497383,0.139950,6383.578479,1197.136316,-0.533284,4.773627,0.804040,5745.873047,6532.652344,7009.488281,175.001032,32.924553,-0.252701,2.143609,0.894059,0.101952,0.149244
Be,882.899983,0.477651,77.464789,929.885153,725.324864,0.049440,6584.491467,1153.301852,-0.806669,4.769273,0.802090,5793.556641,6771.070312,7414.798828,175.001916,43.669247,-0.311936,2.005673,0.913197,0.102091,0.142223
Be,834.361290,0.465467,77.108434,944.556243,472.684761,0.194297,6620.673162,1168.766445,-0.702806,4.146441,0.808938,5769.714844,6723.386719,7486.324219,174.985263,62.572914,-0.435718,1.997125,0.931327,0.117139,0.175087
Be,767.236566,0.410274,48.148148,907.740056,379.920812,0.178543,7061.002512,1250.279340,-1.204124,4.544942,0.798905,6413.443359,7462.482422,7963.160156,175.000591,33.120939,0.219619,2.135538,0.904718,0.091053,0.110031
Be,709.513906,0.385977,0.000000,710.458687,708.610282,0.001304,6431.408057,1671.907142,-0.566205,2.871203,0.854037,5340.562500,6747.228516,7939.318359,172.201590,30.479074,1.778215,10.328292,0.820621,0.028370,0.053972
Be,805.154940,0.480232,30.000000,881.184724,685.394771,0.090740,6657.437270,1917.110960,-0.962588,3.102450,0.820689,5674.347656,7271.748047,8082.369141,186.237171,48.736216,-2.323347,7.550629,0.810286,0.010896,0.025735
Be,852.416762,0.443463,62.500000,887.194322,808.076511,0.041584,6608.041324,2186.480118,-0.667943,2.915300,0.871607,5745.873047,7009.488281,8249.261719,175.307110,12.095012,-0.066050,2.634486,0.869952,0.026608,0.029724
Be,832.885298,0.370126,0.000000,834.294530,832.036411,0.001476,5756.440881,1806.723104,-0.431356,2.771694,0.852988,4434.574219,6151.183594,7104.855469,176.897707,38.173362,-1.955018,8.363641,0.838200,0.014248,0.026554
Be,832.720025,0.364063,0.000000,841.230262,819.408093,0.010974,6063.433079,1704.077324,-0.654197,2.853739,0.838060,4506.099609,6318.076172,7414.798828,174.991630,23.818743,0.254356,3.427195,0.859931,0.026658,0.040685
Be,690.490979,0.386705,0.000000,1335.318977,327.055348,0.413469,6368.761233,1611.790885,-0.412201,2.976445,0.853598,5698.189453,6461.126953,7629.375000,174.983512,28.590717,-0.083520,2.142517,0.901948,0.039263,0.044686
Be,712.775142,0.416839,27.272727,933.292564,457.781711,0.308433,6791.162932,1378.507089,-0.758067,4.038717,0.820367,6008.132812,7057.171875,7867.792969,174.993672,29.164042,-0.305891,2.429157,0.883132,0.093358,0.135301
Be,846.538469,0.481336,58.181818,934.874452,415.497383,0.139950,6383.578479,1197.136316,-0.533284,4.773627,0.804040,5745.873047,6532.652344,7009.488281,175.001032,32.924553,-0.252701,2.143609,0.894059,0.101952,0.149244
Be,882.899983,0.477651,77.464789,929.885153,725.324864,0.049440,6584.491467,1153.301852,-0.806669,4.769273,0.802090,5793.556641,6771.070312,7414.798828,175.001916,43.669247,-0.311936,2.005673,0.913197,0.102091,0.142223
Be,834.361290,0.465467,77.108434,944.556243,472.684761,0.194297,6620.673162,1168.766445,-0.702806,4.146441,0.808938,5769.714844,6723.386719,7486.324219,174.985263,62.572914,-0.435718,1.997125,0.931327,0.117139,0.175087
Be,767.236566,0.410274,48.148148,907.740056,379.920812,0.178543,7061.002512,1250.279340,-1.204124,4.544942,0.798905,6413.443359,7462.482422,7963.160156,175.000591,33.120939,0.219619,2.135538,0.904718,0.091053,0.110031
Be,709.513906,0.385977,0.000000,710.458687,708.610282,0.001304,6431.408057,1671.907142,-0.566205,2.871203,0.854037,5340.562500,6747.228516,7939.318359,172.201590,30.479074,1.778215,10.328292,0.820621,0.028370,0.053972
Be,805.154940,0.480232,30.000000,881.184724,685.394771,0.090740,6657.437270,1917.110960,-0.962588,3.102450,0.820689,5674.347656,7271.748047,8082.369141,186.237171,48.736216,-2.323347,7.550629,0.810286,0.010896,0.025735
Be,852.416762,0.443463,62.500000,887.194322,808.076511,0.041584,6608.041324,2186.480118,-0.667943,2.915300,0.871607,5745.873047,7009.488281,8249.261719,175.307110,12.095012,-0.066050,2.634486,0.869952,0.026608,0.029724
Be,768.480474,0.512172,6.578947,1147.660407,301.824972,0.116674,5308.612522,1422.976613,-0.277000,3.857966,0.805726,4148.472656,5483.613281,6246.550781,173.518614,71.614761,-0.397958,1.563721,0.901679,0.013575,0.021498
Be,735.841074,0.541969,8.823529,822.147309,398.349074,0.159509,5777.934955,1490.443567,-0.168865,3.499806,0.818318,4935.251953,6031.974609,6484.968750,175.019993,28.527154,0.236228,2.905577,0.872552,0.021815,0.035569
Be,695.161751,0.446467,33.333333,800.715970,300.807840,0.230855,5844.479460,1422.228186,0.021065,3.576154,0.826632,5173.669922,6008.132812,6484.968750,175.036085,27.405690,-0.202501,2.334093,0.881355,0.029845,0.041332
Be,650.231578,0.448331,30.769231,795.767311,513.317379,0.174768,6420.082613,1342.905587,-0.279667,3.460830,0.799357,5531.296875,6294.234375,7414.798828,174.990015,29.488027,-0.139159,2.123036,0.899732,0.048644,0.059704
Be,640.422321,0.419443,35.294118,979.225590,391.939032,0.352371,6211.936824,1261.783109,-0.120521,4.004539,0.808870,5269.037109,6127.341797,7224.064453,174.992534,28.324731,-0.161282,2.739053,0.873167,0.040321,0.056582
Be,781.380778,0.432814,11.764706,937.728398,310.127104,0.255009,6417.027742,1136.895192,-0.411091,3.830514,0.813959,5793.556641,6318.076172,7271.748047,174.983865,35.059286,-0.330198,2.268351,0.902573,0.141351,0.186502
Be,801.488765,0.444816,45.833333,917.747017,393.883941,0.186834,6443.038745,1024.931811,-0.614447,4.838363,0.780162,5817.398438,6747.228516,7081.013672,175.015927,39.797427,-0.036776,1.898823,0.920648,0.118934,0.126307
Be,753.924580,0.414567,26.086957,905.342990,300.579611,0.188260,6725.725818,1032.239118,-1.001205,5.453024,0.794397,6270.392578,6818.753906,7510.166016,175.026543,43.657029,-0.171450,1.929369,0.930042,0.115244,0.135236
Be,862.360835,0.477091,52.173913,960.870826,411.041107,0.143333,6440.153451,1139.039609,-0.545109,4.403262,0.797523,5745.873047,6580.335938,7081.013672,174.618807,27.506905,1.005579,6.233934,0.838276,0.083839,0.142381
Be,823.345726,0.447111,36.666667,879.333021,421.185569,0.094810,6624.029983,1420.955682,-0.954879,4.114965,0.791982,5722.031250,7033.330078,7510.166016,175.390948,25.207941,0.571123,2.993750,0.862874,0.039242,0.066595
Be,946.101280,0.397612,0.000000,1096.622788,906.027593,0.046956,6413.802547,1752.738899,-0.596308,2.971649,0.860346,5793.556641,6914.121094,7653.216797,174.675636,24.052486,0.217674,3.029255,0.875719,0.034672,0.045873
Be,828.084549,0.547093,16.666667,1346.659188,411.381257,0.172018,6237.994191,1612.960869,-0.702443,2.950186,0.827612,5626.664062,6651.861328,7390.957031,174.992941,25.314630,1.828323,6.888404,0.819102,0.019933,0.041522
Be,842.456932,0.432354,58.333333,900.767623,583.554482,0.073497,5759.146867,1695.950065,-0.364226,2.922482,0.852043,4458.416016,6031.974609,6985.646484,175.003952,23.138638,0.378878,4.188109,0.849607,0.026400,0.039478
Be,698.053141,0.476433,33.333333,857.908033,397.250985,0.267212,6419.223134,1782.494563,-0.211303,2.772099,0.872186,5578.980469,6747.228516,7939.318359,175.018572,21.865322,0.341966,2.876937,0.868407,0.029458,0.038613
Be,731.207302,0.472356,37.777778,927.602810,305.188190,0.365042,6655.909907,1584.485286,-0.219929,2.872950,0.834022,5769.714844,6699.544922,8153.894531,174.992416,28.144728,-0.193165,2.233317,0.892585,0.083773,0.104042
Be,758.780213,0.457293,43.243243,927.464218,461.844387,0.226347,6648.713877,1666.676535,-0.454394,2.851272,0.860587,5483.613281,6818.753906,8106.210938,174.986396,28.491847,0.135267,2.183213,0.903940,0.058084,0.069034
Be,1328.157860,0.354108,100.000000,1372.596245,1307.389482,0.022611,6450.420521,1915.387162,-0.716612,2.797092,0.852126,5459.771484,6794.912109,8010.843750,175.648788,11.709970,0.224159,2.800384,0.845548,0.020276,0.024674
Be,905.496147,0.425135,20.833333,1465.532619,414.255003,0.173416,5778.657725,1433.486307,-0.738590,3.738431,0.837314,5078.302734,5912.765625,6818.753906,173.945842,24.099729,-0.029730,2.231166,0.898961,0.038211,0.045182
Be,821.409840,0.438191,75.862069,928.846761,432.732693,0.217905,6662.554010,1142.874367,-0.931864,4.893274,0.800743,5912.765625,6842.595703,7510.166016,175.011045,31.340850,-0.386340,2.365997,0.897141,0.088310,0.120126
Be,899.912013,0.542677,88.000000,938.141027,412.676687,0.093115,6442.959211,1063.537381,-0.740963,4.690132,0.771933,5698.189453,6604.177734,7390.957031,175.014985,38.337633,-0.086621,2.046025,0.916105,0.106151,0.123220
Be,821.251860,0.466515,77.358491,914.981166,414.379885,0.203444,6466.507704,1167.401243,-0.734075,4.616248,0.801333,5769.714844,6651.861328,7438.640625,174.995576,35.478083,0.114687,1.983887,0.912287,0.064413,0.074321
Be,765.076866,0.509865,62.264151,937.679124,307.773444,0.293558,6179.572295,1187.007535,-0.446170,4.751629,0.812702,5722.031250,6127.341797,6890.279297,174.839896,31.050238,1.050405,5.572999,0.855569,0.053359,0.089885
Be,852.936078,0.423470,0.000000,889.968561,454.530226,0.140383,6023.726717,1883.718761,-0.264520,2.926049,0.875162,4982.935547,6055.816406,7486.324219,175.439528,21.145320,-0.285874,2.877773,0.878152,0.020732,0.026616
Be,642.069560,0.413044,29.166667,851.508806,361.750096,0.325361,6455.200273,1826.602249,-0.756991,3.494411,0.851286,5960.449219,6747.228516,7915.476562,175.231831,37.951466,-1.243411,6.846248,0.858630,0.019273,0.033770
Be,723.599728,0.404739,61.111111,872.468343,438.307082,0.247419,5599.625266,1818.059804,-0.277724,2.659161,0.869676,4172.314453,5960.449219,6890.279297,174.994491,29.877974,0.377401,5.269248,0.842615,0.019186,0.032740
Be,736.199641,0.423802,0.000000,844.624028,413.827646,0.238300,6282.519913,1436.553121,-0.753513,3.993654,0.824711,5817.398438,6747.228516,7081.013672,175.147502,16.309931,0.159933,2.877952,0.863663,0.030883,0.041921
Be,609.677291,0.411275,0.000000,840.904949,389.185382,0.360513,5365.237581,1621.727711,-0.822724,3.580243,0.815960,4935.251953,5841.240234,6222.708984,174.874761,14.380685,1.092858,4.863985,0.845278,0.009939,0.013226
Be,728.566184,0.404163,13.333333,843.565384,414.965794,0.264048,5798.347727,1474.493825,-0.391144,3.114274,0.832243,4625.308594,6008.132812,6866.437500,175.025417,31.684865,-0.110625,2.023626,0.910680,0.028095,0.032805
Be,555.693684,0.420695,42.105263,945.006161,303.814779,0.536199,6778.224123,1526.624260,-0.408956,2.909136,0.848131,5793.556641,6914.121094,8010.843750,175.004555,28.561815,-0.303046,2.586805,0.877781,0.084019,0.115723
Be,795.400706,0.460715,41.666667,1089.568601,334.522951,0.301499,6715.447986,1349.633458,-0.471017,3.214587,0.840850,5745.873047,6914.121094,7772.425781,175.008188,34.459807,-0.178352,2.081980,0.904378,0.082062,0.099320
Be,855.560468,0.454718,79.310345,925.943760,411.958791,0.120600,6586.424903,1101.839822,-0.958940,5.080125,0.759188,5817.398438,6818.753906,7510.166016,175.016427,38.402312,-0.165790,1.985221,0.916329,0.092383,0.106335
Be,884.405707,0.540495,64.367816,946.237298,305.848932,0.134797,6386.481107,1089.046341,-0.594381,4.232742,0.786337,5698.189453,6580.335938,7367.115234,175.017037,33.366804,-0.029686,2.080130,0.905646,0.104135,0.117322
Be,710.891642,0.426947,20.512821,999.465707,305.521164,0.302949,6662.667356,1176.127449,-0.800475,3.819861,0.803037,5841.240234,6842.595703,7605.533203,175.009436,28.679844,0.111584,2.178332,0.892376,0.078962,0.090781
Be,811.308214,0.405942,70.967742,938.592885,383.283498,0.257893,6527.579553,1136.773759,-0.676892,4.339658,0.794092,5698.189453,6675.703125,7534.007812,174.992905,41.477170,-0.194814,2.020967,0.921568,0.096111,0.120242
Be,795.457815,0.494592,82.500000,936.937674,303.501235,0.283398,6375.077294,1206.246727,-0.193841,4.089968,0.813557,5698.189453,6437.285156,7128.697266,175.018163,36.905087,0.220313,2.689904,0.879640,0.083479,0.111004
Be,829.948060,0.370417,63.636364,881.288259,730.622671,0.078762,6540.291740,1124.012967,-0.687340,4.010987,0.797634,5793.556641,6747.228516,7510.166016,175.007663,33.729148,-0.173140,2.292980,0.886444,0.069897,0.088978
Be,835.924277,0.453255,69.387755,926.818346,386.245570,0.186643,6276.795870,1046.685330,-0.324264,4.776329,0.795645,5602.822266,6365.759766,6914.121094,174.999832,32.593197,-0.281999,2.316707,0.908500,0.101829,0.129135
Be,915.770591,0.553251,73.000000,1257.937497,314.042106,0.122478,6134.510621,1157.576347,0.078028,3.890236,0.794559,5531.296875,5888.923828,6794.912109,175.067564,38.084048,0.048640,2.032245,0.929178,0.116174,0.119999
Be,870.900483,0.388045,0.000000,1272.814624,417.496097,0.233852,4960.245820,1818.844651,-0.407662,2.332224,0.846544,3361.693359,5459.771484,6222.708984,173.705043,28.610024,1.913438,7.435555,0.848569,0.010421,0.016511
Be,820.838221,0.394832,0.000000,865.094793,796.510418,0.031670,5886.913647,1534.999016,-0.669738,3.392618,0.832203,4768.359375,6389.601562,6842.595703,174.991844,22.077857,0.636591,3.749639,0.847620,0.017676,0.032430
Be,766.683107,0.349716,0.000000,857.772978,419.834378,0.253047,5064.310055,1644.342943,-0.183707,2.714489,0.860457,3790.845703,5197.511719,6484.968750,175.001174,34.210966,-1.765533,7.239446,0.848385,0.011097,0.017645
Be,671.176049,0.377789,50.000000,855.104050,367.976122,0.350506,4848.847783,1713.704239,-0.096007,2.330860,0.845556,3433.218750,4768.359375,6580.335938,174.992253,27.466341,0.490008,5.406563,0.849100,0.008935,0.015187
Be,838.347674,0.345996,0.000000,839.634191,837.061158,0.002170,5200.032615,1710.771833,0.224408,2.726567,0.866774,3957.738281,5149.828125,6628.019531,175.003837,26.745397,0.176236,2.554149,0.885147,0.019339,0.024931
Be,610.645636,0.452196,5.555556,829.446138,349.552865,0.325645,5108.541252,1644.068057,0.055656,2.563297,0.842763,3981.580078,4768.359375,6628.019531,174.993580,35.849569,-0.359868,5.531512,0.844986,0.019185,0.030868
Be,577.366022,0.440901,9.523810,844.794442,410.325128,0.322436,4740.470437,1775.768497,0.198563,2.271988,0.835445,3409.376953,4267.681641,6604.177734,174.971524,41.424764,2.144408,7.759103,0.838456,0.010635,0.021397
Be,768.283995,0.461546,33.333333,800.913757,401.781471,0.102874,4522.491972,1778.129884,0.253526,2.440344,0.857228,3194.800781,4196.156250,6198.867188,174.989378,29.065743,1.462266,6.426445,0.857271,0.009852,0.015064
Be,811.897398,0.462507,0.000000,819.425702,790.982424,0.009177,5040.387219,1672.251558,0.046862,2.780896,0.847534,4005.421875,4887.568359,6484.968750,175.466949,27.759224,0.122832,2.432449,0.899507,0.019289,0.024482
Be,719.631435,0.558263,2.702703,851.747534,387.891676,0.237810,4741.722926,2049.829438,0.109901,2.405432,0.828970,3314.009766,4601.466797,6508.810547,173.944428,34.241087,-0.082200,2.108479,0.932396,0.036242,0.039549
Be,823.320632,0.490271,1.041667,854.627517,411.653060,0.081509,4821.083224,1981.770573,0.126812,2.508273,0.854086,3385.535156,4863.726562,6461.126953,175.002406,44.696173,-0.131599,1.929940,0.921688,0.044165,0.049786
