CallType,fund,sal,voice2percent,maxfund,minfund,cvfund,meanspect,stdspect,skewspect,kurtosisspect,entropyspect,q1,q2,q3,meantime,stdtime,skewtime,kurtosistime,entropytime,rms,maxamp
DC,910.650297,0.847801,13.043478,965.994566,713.215772,0.079826,2295.771300,1039.484217,0.608936,3.390983,0.581976,1764.292969,1907.343750,2837.173828,175.305726,12.795553,0.083648,2.840485,0.847003,0.022165,0.028250
DC,804.752495,0.688801,1.234568,959.470737,514.846073,0.216752,2937.529559,1286.860349,0.248041,2.444328,0.679987,1883.501953,2837.173828,4196.156250,174.968360,26.999713,0.298741,2.344494,0.906972,0.032374,0.040925
DC,908.749385,0.712713,16.091954,1046.917174,550.958363,0.188000,4001.505417,1106.771304,-1.112681,4.310200,0.579086,4076.947266,4172.314453,4887.568359,175.260338,25.748811,0.618878,3.149093,0.887332,0.069712,0.107819
DC,817.260939,0.679779,1.315789,954.131191,536.855396,0.191902,3072.601949,1402.705613,-0.027228,1.785323,0.696826,1883.501953,2861.015625,4529.941406,174.934225,27.213804,0.398278,2.566758,0.897062,0.033106,0.043728
DC,877.677965,0.746913,7.766990,1046.535914,535.897436,0.203977,3648.876907,1264.952517,-0.797862,2.876474,0.607564,3075.591797,4148.472656,4196.156250,175.243089,27.140243,0.562288,2.809540,0.899452,0.049802,0.071029
DC,813.570308,0.694237,7.142857,962.319359,519.410738,0.204868,2850.357454,1418.977342,0.175471,1.929211,0.718869,1788.134766,2837.173828,4243.839844,174.951665,27.712003,0.248723,2.414711,0.900303,0.028954,0.038588
DC,908.174754,0.745731,8.510638,1062.971945,545.173077,0.200905,3814.450662,1178.188444,-1.122501,3.809693,0.605079,4029.263672,4196.156250,4243.839844,175.222489,28.403947,0.709855,3.402463,0.885045,0.050026,0.088308
DC,787.495309,0.712864,4.444444,955.797917,510.488372,0.214498,2769.701947,1323.825258,0.341512,2.098533,0.688986,1811.976562,2813.332031,4148.472656,174.898366,27.909066,0.430236,2.647918,0.903254,0.033390,0.042345
DC,883.565038,0.744479,11.111111,1047.105440,531.860067,0.206357,3657.783562,1241.302586,-0.811888,2.923940,0.610665,3099.433594,4148.472656,4196.156250,175.182086,27.874917,0.736568,3.420500,0.881308,0.049983,0.077536
DC,830.080543,0.653402,6.060606,953.569818,548.688363,0.183990,3179.225706,1468.921435,0.047951,1.901820,0.735288,1859.660156,2861.015625,4577.625000,174.866225,25.932503,0.261764,2.408870,0.910217,0.046708,0.058968
DC,921.075376,0.700168,15.476190,1052.910847,556.928880,0.180238,4347.072148,943.556456,-1.560895,6.616116,0.559845,4172.314453,4196.156250,5173.669922,175.152366,25.832897,0.860020,3.923314,0.866954,0.103401,0.172643
DC,816.786663,0.676040,6.666667,977.256732,532.223128,0.213476,3498.677487,1442.810263,-0.546238,1.992087,0.668048,1931.185547,3862.371094,4792.201172,174.968180,26.263473,0.349175,2.414945,0.894098,0.045343,0.064584
DC,916.035393,0.715019,9.090909,1057.347076,557.448010,0.181312,4085.953075,959.612056,-1.579919,6.364089,0.575893,4148.472656,4196.156250,4243.839844,175.167250,26.409884,0.849529,3.972311,0.867273,0.082834,0.139796
DC,849.900671,0.654943,5.714286,973.687414,560.130202,0.176725,3775.117011,1092.023863,-0.413147,3.677170,0.686169,2932.541016,3862.371094,4816.042969,174.519944,25.695609,0.294927,2.280882,0.910794,0.074930,0.093362
DC,908.478802,0.696377,17.977528,1074.734222,567.260494,0.204609,4123.122700,1024.032973,-0.357500,3.869304,0.714681,3457.060547,4219.998047,5030.619141,175.220033,28.493686,0.281999,2.378783,0.911768,0.101550,0.114355
DC,531.953615,0.872694,6.106870,981.785541,467.961207,0.080782,2777.947975,1250.775996,0.466577,4.203899,0.625331,2050.394531,2741.806641,3743.162109,175.386050,36.220448,-0.039289,1.958390,0.946854,0.026888,0.025203
DC,523.247976,0.823782,0.000000,537.483844,510.128130,0.010388,3421.279620,1081.115608,-0.325055,4.210129,0.639433,2622.597656,3671.636719,4172.314453,175.265367,41.160086,0.028719,1.877481,0.952353,0.027791,0.025700
DC,555.159522,0.888114,0.000000,576.943931,536.863678,0.011501,3740.311523,1005.879519,-0.680965,6.234072,0.550020,3314.009766,3910.054688,4434.574219,175.011512,55.840397,0.069200,1.948524,0.960091,0.038793,0.037722
DC,556.870886,0.887145,2.604167,1121.706520,528.079923,0.125489,3232.962706,726.508886,-0.269288,11.159754,0.474601,3242.484375,3290.167969,3314.009766,177.356093,51.658535,-0.028296,1.915975,0.953801,0.029676,0.030233
DC,554.291845,0.849935,1.136364,1142.501249,515.303555,0.114795,3192.236083,953.895173,0.670589,7.115049,0.592419,2741.806641,2956.382812,3647.794922,173.862401,51.008644,-0.254353,1.886108,0.957182,0.042130,0.046352
DC,541.541481,0.868983,0.000000,578.045418,530.340842,0.015725,3113.329195,778.922896,1.127085,15.305798,0.520539,2694.123047,3194.800781,3242.484375,174.892574,56.641846,-0.164686,2.024915,0.965157,0.047322,0.050623
DC,530.603197,0.833043,0.632911,563.718349,517.187204,0.013353,3415.191253,1082.277613,-0.253539,3.364265,0.596555,2646.439453,3695.478516,4219.998047,174.977385,47.825691,-0.120123,1.943132,0.948574,0.034450,0.037162
DC,540.733894,0.888372,0.432900,572.414266,531.000025,0.014708,3524.269197,650.235664,-0.769897,12.886658,0.492105,3218.642578,3719.320312,3767.003906,176.940376,59.534182,-0.051620,2.104297,0.963291,0.048776,0.049144
DC,548.376916,0.897004,0.000000,603.549785,538.593446,0.021728,3330.927644,653.811462,0.839363,17.934256,0.464854,3242.484375,3266.326172,3314.009766,175.611459,53.203109,-0.086867,1.970287,0.960584,0.055669,0.057518
DC,529.018375,0.870013,0.000000,541.366984,508.831347,0.014141,3497.325199,741.050229,0.120470,8.070505,0.566955,3170.958984,3218.642578,3790.845703,175.086918,60.948838,-0.128935,1.876039,0.963314,0.056260,0.055586
DC,534.753678,0.867369,0.000000,557.198074,516.523128,0.011191,3860.441017,1023.117137,-0.660531,4.924789,0.545407,3218.642578,3743.162109,4792.201172,175.564379,66.764349,-0.076470,1.997432,0.965072,0.042355,0.045050
DC,537.779652,0.867002,0.000000,572.611626,526.726318,0.017716,3255.589469,860.157957,-0.059089,10.815690,0.534921,3170.958984,3218.642578,3695.478516,175.158831,48.636898,-0.060502,2.034404,0.950335,0.035079,0.037730
DC,546.985511,0.906900,1.754386,589.872631,521.580356,0.016737,3332.951927,530.920587,1.200968,25.340742,0.451707,3266.326172,3290.167969,3314.009766,175.044283,56.204138,-0.172177,2.084704,0.954313,0.067004,0.076523
DC,534.495244,0.868441,0.000000,575.202201,516.725643,0.013053,3496.937952,647.480116,0.223361,9.571350,0.472521,3194.800781,3218.642578,3743.162109,175.035880,48.771665,0.035408,2.120654,0.952327,0.079601,0.082398
DC,530.431804,0.804385,1.388889,600.347168,518.595858,0.028920,3183.230597,1249.879340,-0.091324,4.053120,0.614364,2551.072266,3361.693359,4196.156250,175.296033,44.520343,-0.097274,1.922240,0.952016,0.034313,0.032660
DC,546.648478,0.895713,1.244813,1376.863666,519.182171,0.134251,3463.403471,536.712028,0.443038,16.590847,0.411016,3242.484375,3266.326172,3767.003906,175.197148,64.901345,-0.040753,1.948674,0.958322,0.109454,0.109280
DC,549.663446,0.896615,0.378788,608.148106,519.922537,0.016927,3789.522806,640.155580,-1.309525,11.460132,0.438290,3838.529297,3862.371094,3886.212891,175.017041,68.421521,-0.067515,1.964211,0.965281,0.110585,0.116106
DC,553.462273,0.908504,0.347222,608.276928,486.197259,0.019415,3758.875053,728.735825,-0.600964,10.077161,0.472870,3361.693359,3886.212891,3910.054688,175.090139,76.041550,0.096999,1.958908,0.971529,0.105572,0.112235
DC,565.986633,0.892097,1.127820,1286.791083,512.792238,0.171250,3847.901282,807.982078,-0.799565,6.438454,0.595292,3361.693359,3862.371094,4410.732422,175.149989,70.047989,0.146404,1.875111,0.964080,0.095353,0.108134
DC,549.747579,0.895079,0.722022,562.463242,514.295015,0.019510,3796.188822,706.317033,-0.474816,10.064787,0.573868,3337.851562,3862.371094,3910.054688,175.208086,76.051649,0.075742,1.927586,0.969395,0.074567,0.081316
DC,543.729886,0.892214,0.784314,567.123080,473.907036,0.024055,3616.400921,673.542574,-0.846402,9.977244,0.571713,3290.167969,3814.687500,3886.212891,175.236968,68.795918,-0.174450,2.057793,0.961914,0.077710,0.087585
DC,554.396572,0.875678,0.000000,568.750066,507.270961,0.022166,3772.554187,666.147886,-1.425728,10.039572,0.542004,3623.953125,3886.212891,3933.896484,175.101354,66.201044,-0.057607,1.932271,0.961163,0.112849,0.125922
DC,552.918721,0.880659,0.423729,576.338480,489.735098,0.024681,3419.700982,856.302547,-0.372813,5.577955,0.641681,2813.332031,3361.693359,3957.738281,175.030462,64.569435,-0.305855,2.076281,0.955910,0.075461,0.092881
DC,553.011114,0.880173,0.421941,576.652337,490.600186,0.024491,3419.720067,856.205924,-0.372632,5.577124,0.641648,2813.332031,3361.693359,3957.738281,175.107027,64.330852,-0.314270,2.067605,0.959752,0.076820,0.092875
DC,544.507334,0.870243,0.738007,557.746329,478.693782,0.024579,3864.213670,806.418895,-0.558991,6.725152,0.664120,3290.167969,3862.371094,4410.732422,175.225582,77.372531,0.102497,1.845807,0.967617,0.056606,0.064155
DC,462.165386,0.812440,0.884956,805.559725,372.667089,0.179881,2701.139269,804.481694,1.085892,9.836166,0.639783,2264.970703,2717.964844,3170.958984,174.957944,30.366023,-0.279499,2.248105,0.930843,0.065298,0.079781
DC,446.034571,0.812582,4.464286,951.464964,371.155894,0.211274,2807.317690,821.631083,1.013021,11.760314,0.630107,2551.072266,2598.755859,3385.535156,174.835705,30.706073,-0.186620,2.079224,0.935500,0.043076,0.051666
DC,479.362843,0.787003,0.909091,831.045713,406.350781,0.265374,3124.524130,848.536305,0.368097,9.281024,0.652114,2598.755859,3075.591797,3862.371094,174.873919,31.152370,-0.235985,2.140175,0.928028,0.051466,0.061162
DC,442.977112,0.795494,0.000000,1185.098710,395.078346,0.159760,3211.303560,871.082531,0.696518,11.737150,0.618045,2622.597656,3528.585938,3600.111328,174.712168,32.793699,-0.099476,1.972874,0.938731,0.065426,0.067387
DC,461.300677,0.806189,0.000000,1166.236937,404.398442,0.201147,2712.043975,804.668010,0.879475,9.216675,0.665582,2217.287109,2646.439453,3504.744141,175.092212,30.962698,-0.178169,2.245746,0.924833,0.070950,0.075076
DC,446.129387,0.827411,0.000000,761.698111,382.538709,0.078382,2764.127068,993.756589,1.063190,10.247064,0.616832,2288.812500,2765.648438,3242.484375,175.709202,37.858215,-0.296747,2.264195,0.933783,0.052728,0.059074
DC,433.584160,0.793414,1.886792,456.095889,388.481104,0.048983,2640.601942,772.004623,0.058750,8.710023,0.627739,2264.970703,2694.123047,3170.958984,175.125820,29.311109,-0.243656,2.215206,0.927560,0.054223,0.065141
DC,432.263309,0.788894,1.851852,454.886323,360.303932,0.051612,2666.864035,784.424890,1.000182,15.217155,0.620055,2288.812500,2670.281250,3051.750000,175.168700,30.726787,-0.216184,2.183335,0.930049,0.057327,0.062759
DC,435.716426,0.794832,0.000000,451.985772,381.526523,0.044029,2865.001145,826.510503,-0.169599,7.461070,0.584662,2241.128906,3123.275391,3194.800781,174.962560,29.851766,-0.246075,2.273496,0.925299,0.057673,0.068582
DC,513.606641,0.883625,10.919540,903.454980,373.710948,0.273054,2841.434380,805.851303,1.696436,17.712104,0.552145,2717.964844,2861.015625,2884.857422,175.332003,41.955602,-0.364803,2.282302,0.934577,0.114810,0.145191
DC,506.945371,0.805177,13.157895,916.951264,384.355379,0.330877,2777.362304,619.609275,0.901221,16.649362,0.504968,2694.123047,2741.806641,2765.648438,175.208692,30.574046,-0.416520,2.411811,0.924572,0.066444,0.086121
DC,431.737489,0.786456,10.810811,1169.649617,381.615816,0.169225,2667.656215,825.790005,0.548118,8.375792,0.644663,2217.287109,2646.439453,3099.433594,175.240057,31.173936,-0.256418,2.271550,0.929081,0.036583,0.043672
DC,450.720146,0.850500,1.020408,529.969037,342.763164,0.063820,3255.576260,1161.134109,0.116659,5.393138,0.641207,2527.230469,3671.636719,4172.314453,175.132252,47.597737,-0.491786,2.617792,0.935475,0.047945,0.062918
DC,477.696143,0.849402,1.156069,501.080422,360.647567,0.062481,3199.756778,888.877180,0.628622,9.721445,0.650697,2527.230469,2980.224609,3933.896484,175.347573,46.786833,-0.118729,2.024007,0.947635,0.101320,0.114111
DC,491.284761,0.800850,1.418440,801.804601,402.066374,0.192903,3302.863531,710.150452,0.349390,12.610406,0.633283,2837.173828,3337.851562,3790.845703,175.254132,39.868577,-0.260408,2.197424,0.933182,0.085952,0.099253
DC,476.044285,0.844926,0.653595,499.838292,420.354238,0.047314,3277.736045,626.972192,0.132414,8.648827,0.630613,2956.382812,3051.750000,3814.687500,175.094356,41.657236,-0.157386,2.118275,0.939286,0.154541,0.174798
DC,495.462294,0.848607,2.380952,824.543263,413.247128,0.135061,2976.458662,764.851713,1.465914,16.788634,0.636443,2527.230469,3004.066406,3433.218750,175.835188,43.249825,-0.147821,2.082227,0.954954,0.137913,0.144335
DC,505.489334,0.843401,0.000000,1293.281421,406.440817,0.209496,3126.386096,740.728612,0.964522,16.207547,0.624208,2980.224609,3051.750000,3480.902344,175.144882,44.668767,-0.158585,2.124710,0.951466,0.148324,0.178297
DC,473.122900,0.787055,0.000000,1174.299530,399.183416,0.283151,2972.490880,681.348092,0.825137,14.201600,0.663975,2598.755859,3194.800781,3266.326172,174.930672,29.888726,-0.159418,2.017663,0.934258,0.071249,0.074752
DC,494.031551,0.853959,0.555556,1264.014142,422.952311,0.144135,3254.075027,629.781340,-0.164887,8.232287,0.625470,3004.066406,3051.750000,3457.060547,175.153773,48.500379,0.004524,1.871137,0.953151,0.155149,0.153574
DC,472.927953,0.822766,2.898551,1305.863537,354.429775,0.307716,3068.826399,693.297916,1.307568,15.450449,0.685476,2646.439453,3075.591797,3504.744141,175.237066,36.176542,-0.199675,1.988983,0.931986,0.072401,0.083387
DC,479.348898,0.852602,4.430380,510.605103,394.990380,0.059387,3123.959049,567.788690,0.349702,11.177802,0.638765,2956.382812,3027.908203,3409.376953,175.069185,41.238615,-0.078182,2.075077,0.936109,0.142017,0.153205
DC,501.960339,0.844442,1.863354,1241.118095,398.485810,0.182738,3304.010993,651.108543,0.280212,9.056022,0.677304,3004.066406,3218.642578,3528.585938,175.603236,44.820764,0.027185,1.809951,0.949507,0.143138,0.160299
DC,530.709957,0.841908,0.000000,1420.508119,402.496471,0.235256,3191.393380,477.865027,2.274826,37.801391,0.531039,3123.275391,3194.800781,3218.642578,175.177800,44.210037,-0.081680,2.254975,0.939048,0.199269,0.253878
DC,510.449314,0.843980,0.000000,1370.583536,419.578870,0.289855,3275.002751,593.366718,0.161115,9.714884,0.706479,2932.541016,3337.851562,3528.585938,175.247139,46.055842,0.064731,1.796789,0.955091,0.120013,0.112239
DC,531.738768,0.831942,1.142857,1457.656316,404.462730,0.342486,3333.570929,699.340390,-0.505970,7.250265,0.610196,3051.750000,3099.433594,4005.421875,175.584814,45.625372,-0.221287,2.074755,0.951563,0.185620,0.214268
DC,490.895686,0.848347,0.000000,910.521778,388.304670,0.084038,3382.487117,1227.425497,-0.181191,4.989780,0.704219,2717.964844,3576.269531,4100.789062,175.131201,50.251037,-0.052360,2.046861,0.948176,0.091431,0.098449
DC,676.445144,0.720929,5.982906,1140.859971,543.633132,0.090003,3507.953567,721.189736,0.094277,11.019893,0.653494,3242.484375,3314.009766,3933.896484,175.089102,42.156506,-0.165062,1.942337,0.947721,0.060947,0.075804
DC,682.789105,0.777026,0.000000,750.607542,611.667613,0.050127,3233.585155,869.233320,-0.150527,5.471116,0.714381,2717.964844,3337.851562,3838.529297,175.147045,39.813199,-0.169009,1.872042,0.934375,0.037771,0.046836
DC,690.647682,0.783833,19.847328,1029.494115,315.077344,0.115259,3083.491116,1157.303541,0.066087,3.156737,0.760687,2050.394531,3242.484375,4005.421875,174.857755,41.302879,0.171689,1.832272,0.944787,0.036072,0.047332
