"bfi1","bfi2","bfi3","bfi4","bfi5","bfi6","bfi7","bfi8","bfi9","bfi10","bfi11","bfi12","bfi13","bfi14","bfi15","bfi16","bfi17","bfi18","bfi19","bfi20","bfi21","bfi22","bfi23","bfi24","bfi25","bfi26","bfi27","bfi28","bfi29","bfi30","bfi31","bfi32","bfi33","bfi34","bfi35","bfi36","bfi37","bfi38","bfi39","bfi40","bfi41","bfi42","bfi43","bfi44","sexF","ethF","BFIE","BFIA","BFIC","BFIO","BFIN","inc.F","ed.dadF","ed.momF","TRNSF"
5,5,4,3,3,2,5,6,5,5,3,1,5,5,3,4,6,4,3,3,2,6,4,5,3,5,5,5,5,5,2,6,6,5,3,5,5,5,5,5,3,6,6,3,"F","AS",4.25,4.11111111111111,3.22222222222222,3.6,3,"50k - 75k","<CD","CD",NA
5,5,5,5,5,3,5,4,3,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,6,5,4,5,5,6,5,5,5,5,4,5,5,5,5,5,5,5,5,5,"F","AS",4,3.11111111111111,3.33333333333333,4.5,3.75,"35k - 50k","MD","MD",NA
7,5,7,5,6,2,6,5,6,7,6,1,3,5,6,6,6,2,2,5,1,6,2,5,5,7,3,6,5,6,3,7,6,6,3,6,2,3,3,6,3,5,6,5,"F","W",5.5,4.77777777777778,3.77777777777778,5.2,2.625,"> $150k","MD","GD","ucb"
5,6,6,3,4,4,5,5,6,5,5,5,6,4,5,5,3,5,5,5,4,3,6,5,4,6,5,7,5,5,4,6,5,4,3,6,4,4,4,5,3,3,6,5,"F","W",4.125,2.66666666666667,3.33333333333333,4.4,3,"25k - 35k","CD","<CD","ucb"
4,5,5,3,6,3,5,4,5,7,4,2,5,4,6,4,5,2,2,6,4,6,2,6,4,4,6,4,7,NA,4,5,6,4,3,4,3,4,3,6,1,4,4,7,"M","W",3.375,3.66666666666667,4,NA,2.75,"75k - 100k","MD","MD","ucb"
3,3,6,5,3,6,5,2,3,3,3,2,6,5,6,3,5,2,6,4,6,6,2,5,3,3,4,6,6,5,5,4,5,4,6,4,3,5,4,3,3,5,3,4,"F","AS",2.125,4.11111111111111,4.77777777777778,3.4,4,"75k - 100k","CD","HSD","ucb"
5,2,6,1,4,6,4,3,5,5,1,6,5,4,5,6,3,5,5,5,3,6,2,6,4,2,2,5,5,4,4,6,5,3,5,5,3,5,5,4,4,6,4,2,"F","AS",3,4,4,3.6,3,"100k - 150k","MD","MD","ucb"
7,4,6,1,6,7,4,4,6,6,3,6,4,6,7,7,5,3,4,5,2,7,5,5,5,6,6,5,3,4,7,6,NA,5,2,7,4,6,5,5,4,7,5,2,"F","W",4,3.66666666666667,NA,4.6,2.625,"100k - 150k","HSD","CD","ucb"
6,6,7,2,6,3,3,2,4,6,5,2,5,4,5,7,3,5,2,5,3,3,2,4,4,6,5,6,5,6,2,3,5,5,5,6,5,6,2,5,3,4,3,5,"M","W",5,2.44444444444444,4.55555555555556,4.6,2.5,"75k - 100k","HSD","CD","ucb"
6,3,5,4,4,5,6,5,2,4,5,1,6,6,4,5,6,2,7,3,6,6,5,3,4,2,3,5,5,5,5,6,5,2,5,6,3,5,5,6,4,6,5,4,"F","AS",3.25,4.88888888888889,3.66666666666667,3.7,4.75,"35k - 50k","HSD","<CD","ucb"
